Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"1u","C1, C2","C0603","C15849"
"100nF","C3, C7, C16, C17, C19, C21, C23","C0402","C307331"
"10u","C4, C5, C6, C9, C11, C12, C13, C15, C18, C20","C0603","C96446"
"5.6nF","C8","C0402","C115688"
"10nF","C10","C0402","C15195"
"220nF","C14","C0402","C16772"
"100n","C22","C0603","C14663"
"B5819W","D1, D2, D5, D6","D_SOD-123","C8598"
"1N4148WS","D3, D4, D7, D9, D11, D13, D15, D17, D19, D21, D34, D36, D38, D40, D42, D43","SOD-323","C2128"
"LED-RED-0603","D8, D10, D12, D14, D16, D18, D20, D22, D37, D39","LED-0603","C2286"
"LED-BLUE-0603","D23, D24, D25, D26, D27, D28, D29, D30","LED-0603","C72041"
"LED-GREEN-0603","D31, D32, D33, D35","LED-0603","C72043"
"LED-WHITE-0603","D41","LED-0603","C84265"
"10A","F1, F2, F3, F4, F5, F6, F7, F8","36911600000","C354908"
"AudioJack_THR","J5","Jack_3.5mm_PJ-3250-5A","C165947"
"XH-8A","J9","XH-8A","C10385"
"USB_B_Mini","J11","USB-MINI-B-VERTICAL","C13453"
"Jumper_2_Open","JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP21, JP22, JP23, JP24, JP25, JP28, JP29, JP30, JP31, JP32, JP33, JP34","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP26, JP27","PAD-1206-PAD","C182446"
"NGD8201AN","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","DPAK","C151649"
"AUIPS2041LTR","Q9, Q10","SOT-223","C113610"
"DNP","R1, R4, R5, R8, R9, R12, R18, R21","R2512","NA"
"22","R2, R3, R6, R7, R10, R11, R19, R20","R0603","C23345"
"100k","R15","R0402","C106234"
"100","R16","R0402","C106233"
"10k","R17, R24, R25","R0402","C60489"
"2.7k","R22, R23","R0603","C13167"
"680k","R26, R27, R28","R0603","C25822"
"1k6","R31","R0402","C25931"
"750R","R32","R0402","C25132"
"5k1","R33, R34, R35","R0402","C25941"
"20k","R36","R0402","C25765"
"4.7k","R37","R0402","C25940"
"4.7k","RN1, RN2","R_Array_Concave_4x0603","C1980"
"1k","RN3, RN4","R_Array_Concave_4x0603","C240722"
"Button_SPST","SW1, SW2","SMD-2_2.9x3.9x1.7","C115357"
"TLS115_SOIC","U1","PG-DSO-8-43","C540242"
"MCP6002-xSN","U3","SO8","C7377"
"L6205PD","U4","SO20POWER","C36543"
"LIS2DW12TR","U7","LGA-12_2x2mm_P0.5mm","C189624"
"LPS25HB","U8","HLGA-10","C87898"
"nSMD050-24V","F42333310","SMD1206","C70076"
